fecha,t_min,t_max,hr_t_min,hr_t_max
2020-09-06,14.8,26.4,100.0,57.0
2020-09-07,16.9,25.2,99.8,59.9
2020-09-08,16.7,23.7,96.3,62.5
2020-09-09,14.8,24.3,90.3,50.0
2020-09-10,12.6,25.6,100.0,45.7
2020-09-11,15.9,20.7,95.8,70.9
2020-09-12,14.3,22.9,99.5,58.0
2020-09-13,15.2,24.8,100.0,57.5
2020-09-14,15.4,26.1,100.0,53.5
2020-09-15,14.8,26.1,100.0,50.6
2020-09-16,14.8,25.5,100.0,56.1
2020-09-17,14.4,26.6,100.0,51.7
2020-09-18,14.7,26.0,100.0,60.1
2020-09-19,14.9,26.0,94.5,47.6
2020-09-20,16.3,27.5,100.0,53.7
2020-09-21,17.6,28.6,100.0,56.7
2020-09-22,21.1,28.4,90.4,58.4
2020-09-23,20.6,28.5,93.2,58.1
2020-09-24,19.4,29.1,71.1,39.7
2020-09-25,16.3,28.2,100.0,54.9
2020-09-26,17.9,29.5,46.3,23.0
2020-09-27,10.2,27.3,45.8,15.7
2020-09-28,13.0,26.4,84.2,36.6
2020-09-29,14.1,26.2,93.3,44.1
2020-09-30,12.7,26.1,93.4,40.5
2020-10-01,13.2,27.2,97.6,41.0
2020-10-02,15.7,28.6,100.0,46.5
2020-10-03,16.3,28.6,98.8,46.8
2020-10-04,15.8,27.3,83.1,41.1
2020-10-05,17.6,28.1,63.6,33.7
2020-10-06,15.5,27.8,87.5,41.2
2020-10-07,15.0,27.6,98.6,45.5
2020-10-08,14.2,27.3,89.0,39.7
2020-10-09,16.2,29.4,89.7,40.3
2020-10-10,17.3,29.6,93.2,44.4
2020-10-11,18.2,29.0,92.9,48.4
2020-10-12,17.8,27.7,84.9,46.6
2020-10-13,16.4,28.3,84.2,40.8
2020-10-14,16.1,27.8,84.2,41.2
2020-10-15,14.9,27.2,79.7,37.4
2020-10-16,15.4,28.8,95.5,42.2
2020-10-17,16.1,28.2,88.6,42.4
2020-10-18,14.9,28.4,100.0,44.2
2020-10-19,18.8,31.2,82.1,39.2
2020-10-20,19.5,28.1,82.5,49.2
2020-10-21,19.4,28.1,82.2,48.7
2020-10-22,18.2,28.0,91.9,50.8
2020-10-23,20.3,28.9,83.2,49.7
2020-10-24,21.9,28.7,83.0,55.4
2020-10-25,22.2,28.3,85.6,59.5
2020-10-26,21.9,30.4,92.5,56.0
2020-10-27,21.9,28.9,95.6,63.0
2020-10-28,18.4,28.3,100.0,61.6
2020-10-29,18.5,30.4,100.0,49.1
2020-10-30,16.2,31.2,100.0,51.5
2020-10-31,23.2,30.2,72.1,47.8
2020-11-01,21.6,32.5,81.0,42.7
2020-11-02,19.8,30.4,93.6,49.8
2020-11-03,19.0,28.1,76.5,44.2
2020-11-04,17.0,29.0,81.1,39.2
2020-11-05,18.8,30.8,92.7,45.3
2020-11-06,19.9,32.7,29.7,13.9
2020-11-07,17.3,29.1,88.7,43.4
2020-11-08,21.6,28.1,59.7,40.5
2020-11-09,16.2,26.5,82.0,43.6
2020-11-10,14.9,27.8,88.0,39.9
2020-11-11,15.8,28.7,91.4,41.7
2020-11-12,15.8,29.2,81.4,36.0
2020-11-13,20.8,29.7,67.6,39.8
2020-11-14,21.2,31.4,81.9,44.8
2020-11-15,23.5,32.1,85.0,51.4
2020-11-16,22.8,31.6,84.0,50.1
2020-11-17,20.5,32.6,87.5,42.9
2020-11-18,22.0,29.1,93.1,61.1
2020-11-19,21.3,30.5,85.3,49.5
2020-11-20,19.8,31.5,92.7,46.3
2020-11-21,18.9,31.0,81.6,39.6
2020-11-22,18.8,30.8,83.5,40.8
2020-11-23,17.8,30.8,88.9,40.8
2020-11-24,19.7,31.2,88.5,44.7
2020-11-25,22.3,31.4,86.9,50.9
2020-11-26,21.8,31.8,88.1,48.9
2020-11-27,20.4,31.0,84.7,45.2
